Country Name,Series Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,Fossil fuel energy consumption (% of total),93.82,93.66,93.51,93.88,93.93,93.96,93.74,93.54,93.88,94.07,94.22,94.28,94.28,94.34,95.53,94.66,94.49,94.44,93.93,93.68,93.61,93.36,93.14,93.06,92.92,92.55,91.53,90.42,90.19
France,Fossil fuel energy consumption (% of total),53.58,53.85,52.9,54.79,54.02,52.81,53.41,52.82,53.04,52.75,52.62,52.21,51.99,51.14,51.13,50.09,49.55,49.6,49.18,47.07,47.41,48.52,49.16,47.31,47.74,46.85,47.34,49.71,46.47
Germany,Fossil fuel energy consumption (% of total),85.81,85.91,84.63,84.93,83.93,83.63,83.61,83.28,82.93,82.23,81.56,80.82,80.71,79.92,79.3,78.76,79.67,79.68,80.23,79.39,79.59,80.3,80.28,79.5,78.08,76.68,77.03,78.47,77.6
"Korea, Rep.",Fossil fuel energy consumption (% of total),87.18,87.09,87.39,84.14,83.41,83.77,83.3,83.12,81.81,82.17,80.44,80.21,81.51,80.68,81.29,82.44,82.41,82.81,83.78,81.9,81.38,81.98,83.17,84.74,83.07,81.05,82.19,79.89,79.05
Sweden,Fossil fuel energy consumption (% of total),37.47,37.29,36.1,35.51,35.26,35.21,34.4,37.95,37.03,35.41,34.4,33.92,33.04,33.82,32.69,35.01,34.83,31.34,30.28,29.93,26.06,27.07,26.17,27.9,26.13,25.17,25.12,24.28,24.88
United Kingdom,Fossil fuel energy consumption (% of total),87.71,87.57,86.72,86.77,87.24,88.41,87.82,87.81,88.07,88.56,88.09,88.56,89.58,90.17,87.34,88.37,85.83,85.46,84.28,82.96,80.84,79.95,79.08,78.28,77.87,76.21,77.54,77.21,75.54
