Reference area,Frequency of observation,Measure,Unit of measure,Price base,TIME_PERIOD,OBS_VALUE
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2006,3.855736149
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2007,2.890107175
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2008,0.910403218
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-5.545164556
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2010,4.146767547
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2011,3.757968846
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2012,0.474291334
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2013,0.386224586
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2014,2.169498901
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2015,1.652719777
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2016,2.294710667
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2017,2.716024559
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2018,1.116443108
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2019,0.987893353
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-4.095137522
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2021,3.66999988
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2022,1.369731039
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2023,-0.266438395
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2024,-0.238526854
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,1996,1.382470728
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,1997,3.602883131
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,1998,3.436935772
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,1999,2.658785813
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2000,4.137827222
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2001,4.650414092
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2002,4.683137191
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2003,5.796823147
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2004,5.377866143
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2005,1.183506279
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2006,6.443397639
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2007,3.506870129
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2008,0.057473776
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-4.119276185
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2010,-5.693741209
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2011,-9.876778831
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2012,-8.331134131
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2013,-2.272116571
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2014,0.792224531
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2015,-0.228301442
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2016,-0.031795368
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2017,1.47312476
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2018,2.06467248
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2019,2.277180853
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-9.196231663
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2021,8.654497953
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2022,5.743649206
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2023,2.332123838
Greece,Annual,Gross domestic product,Percent per annum,Constant prices,2024,2.271736405
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,1996,0.101237221
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,1997,2.977875001
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,1998,3.848109281
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,1999,3.086059963
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2000,4.409376348
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2001,4.06202373
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2002,4.730064138
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2003,3.938779627
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2004,4.963124342
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2005,4.300282444
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2006,3.933930739
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2007,0.332355692
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2008,0.993437197
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-6.740165357
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2010,1.067951246
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2011,1.916707996
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2012,-1.339485485
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2013,2.03217023
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2014,4.334354889
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2015,3.659814441
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2016,2.438642635
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2017,4.124184669
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2018,5.606137274
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2019,5.077185752
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-4.338726353
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2021,7.121143083
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2022,4.260907856
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2023,-0.94622444
Hungary,Annual,Gross domestic product,Percent per annum,Constant prices,2024,0.532688484
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,1996,4.567131453
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,1997,5.771610944
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,1998,7.362800056
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,1999,4.034921141
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2000,4.985044224
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2001,4.013499515
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2002,0.559516282
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2003,2.14268857
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2004,7.802395933
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2005,6.124439503
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2006,6.316998347
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2007,8.454856365
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2008,2.209499111
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-7.663812613
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2010,-2.832770798
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2011,1.84577773
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2012,1.063635424
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2013,4.552461887
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2014,1.687212037
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2015,4.436667807
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2016,6.303687412
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2017,4.194944485
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2018,4.889175172
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2019,1.861178608
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-6.94045251
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2021,5.254207091
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2022,8.992507781
Iceland,Annual,Gross domestic product,Percent per annum,Constant prices,2023,5.037182064
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,1996,7.37962253
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,1997,11.02176256
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,1998,8.766125831
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,1999,10.52988493
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2000,9.403525011
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2001,5.305820906
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2002,5.899366687
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2003,3.013838421
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2004,6.788138788
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2005,5.739782715
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2006,4.987854421
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2007,5.310117067
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2008,-4.484069732
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-5.095781674
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2010,1.682971963
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2011,1.648774207
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2012,-0.398960318
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2013,2.192176055
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2014,9.33603381
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2015,24.61556997
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2016,1.222638487
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2017,10.04962849
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2018,7.544341872
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2019,5.040550294
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2020,7.15789862
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2021,16.2556136
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2022,8.619503462
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2023,-5.53000742
Ireland,Annual,Gross domestic product,Percent per annum,Constant prices,2024,1.221334256
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,1996,5.841219628
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,1997,3.612630343
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,1998,4.111669788
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,1999,3.296780049
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2000,8.582030142
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2001,0.278259972
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2002,-0.133990173
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2003,1.449000232
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2004,4.647979921
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2005,4.387810125
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2006,5.601659744
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2007,6.323230346
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2008,3.222159916
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2009,1.237719942
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2010,5.534469855
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2011,5.518650001
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2012,2.447600187
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2013,4.085529898
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2014,3.775829878
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2015,2.237600188
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2016,4.459580334
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2017,4.34709026
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2018,4.003679874
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2019,3.710400117
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-2.021970169
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2021,9.388370082
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2022,6.263250071
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2023,1.826519961
Israel,Annual,Gross domestic product,Percent per annum,Constant prices,2024,0.871949947
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,1996,1.345584757
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,1997,1.925721259
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,1998,1.804373274
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,1999,1.677991566
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2000,3.882098837
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2001,2.006433327
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2002,0.269929648
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2003,0.066553803
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2004,1.474021734
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2005,0.762410675
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2006,1.799479902
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2007,1.462292069
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2008,-1.023138535
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-5.305154008
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2010,1.529105726
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2011,0.695463174
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2012,-3.125238771
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2013,-1.818025114
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2014,-0.001387601
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2015,0.885667632
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2016,1.236221055
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2017,1.603699967
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2018,0.8266467
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2019,0.429162561
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-8.868221223
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2021,8.931062098
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2022,4.821176712
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2023,0.715372499
Italy,Annual,Gross domestic product,Percent per annum,Constant prices,2024,0.725792354
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,1996,3.133870991
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,1997,0.981228736
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,1998,-1.270330499
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,1999,-0.333929964
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2000,2.764647572
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2001,0.386103409
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2002,0.041962503
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2003,1.535125502
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2004,2.186115696
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2005,1.803900867
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2006,1.372350137
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2007,1.483969398
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2008,-1.224289002
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-5.693236344
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2010,4.097917922
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2011,0.023809516
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2012,1.374751
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2013,2.005100173
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2014,0.296205508
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2015,1.560626699
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2016,0.753826743
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2017,1.675331759
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2018,0.643391029
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2019,-0.402169202
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-4.168764572
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2021,2.696574043
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2022,0.941998775
Japan,Annual,Gross domestic product,Percent per annum,Constant prices,2023,1.475034798
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,1996,7.890703235
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,1997,6.170552435
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,1998,-5.129448146
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,1999,11.46694249
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2000,9.060833248
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2001,4.725935644
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2002,7.743998961
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2003,3.074726608
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2004,5.183636881
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2005,4.358236621
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2006,5.245005543
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2007,5.841963387
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2008,3.004404501
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2009,0.819861747
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2010,6.981661395
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2011,3.688032063
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2012,2.547665497
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2013,3.291395967
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2014,3.214680183
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2015,2.9202927
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2016,3.171527495
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2017,3.433191738
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2018,3.176115701
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2019,2.313802102
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-0.700242323
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2021,4.612967965
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2022,2.727564571
Korea,Annual,Gross domestic product,Percent per annum,Constant prices,2023,1.404126079
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,1996,2.299962581
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,1997,9.171473576
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,1998,6.550002522
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,1999,2.818406834
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2000,5.841025574
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2001,6.46057742
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2002,7.665488338
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2003,8.429131825
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2004,8.72514559
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2005,11.6153161
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2006,12.82501873
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2007,10.41453631
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2008,-3.388716387
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-16.04001853
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2010,-3.66125912
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2011,3.036345151
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2012,7.30524024
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2013,2.096089099
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2014,2.094960893
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2015,3.783367772
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2016,2.551685136
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2017,3.398948472
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2018,4.309713702
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2019,0.675372004
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-3.469227433
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2021,6.942542293
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2022,1.806771255
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2023,2.854218976
Latvia,Annual,Gross domestic product,Percent per annum,Constant prices,2024,-0.442492291
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,1996,5.026942736
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,1997,8.300631265
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,1998,7.462937106
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,1999,-1.097005862
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2000,3.418621165
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2001,6.484124255
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2002,6.7198404
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2003,10.55189647
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2004,6.50203598
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2005,7.731445594
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2006,7.395480783
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2007,11.0779297
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2008,2.599460263
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-14.83861092
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2010,0.427199904
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2011,6.323635535
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2012,4.382905225
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2013,4.046915631
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2014,3.772542826
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2015,2.83280601
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2016,2.671921926
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2017,4.612243968
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2018,4.918368256
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2019,4.677351809
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2020,0.042815452
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2021,6.380015334
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2022,2.537525554
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2023,0.342262974
Lithuania,Annual,Gross domestic product,Percent per annum,Constant prices,2024,2.727360266
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,1996,1.398076012
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,1997,5.419831908
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,1998,6.67451353
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,1999,8.175180238
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2000,6.938131144
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2001,3.074356096
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2002,3.225415536
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2003,2.61937963
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2004,4.231890356
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2005,2.482875001
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2006,6.01671604
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2007,8.098666418
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2008,-0.300175742
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-3.238954395
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2010,3.760413029
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2011,1.044300151
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2012,1.649900743
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2013,3.171790488
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2014,2.623086182
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2015,2.269785217
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2016,4.978190694
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2017,1.317187117
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2018,1.219322056
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2019,2.915847455
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-0.909830048
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2021,7.168402841
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2022,1.380185765
Luxembourg,Annual,Gross domestic product,Percent per annum,Constant prices,2023,-1.095723411
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,1996,6.218297116
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,1997,7.198876129
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,1998,6.185078988
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,1999,2.755030377
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2000,5.029283982
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2001,-0.450845268
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2002,-0.236587993
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2003,1.185544888
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2004,3.56544102
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2005,2.113247131
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2006,4.805013487
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2007,2.077863969
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2008,0.943331834
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-6.295250555
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2010,4.971334584
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2011,3.444045079
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2012,3.553210762
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2013,0.852101558
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2014,2.503763493
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2015,2.702323422
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2016,1.772493251
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2017,1.871728527
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2018,1.972082096
Mexico,Annual,Gross domestic product,Percent per annum,Constant prices,2019,-0.392690499
