Reference area,Frequency of observation,Measure,Unit of measure,Price base,TIME_PERIOD,OBS_VALUE
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2010,2.710311455
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2011,1.931154977
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2012,0.215803712
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2013,0.30549456
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2014,1.765540269
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2015,1.4741644
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2016,1.19350277
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2017,1.474467606
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2018,1.877968522
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2019,2.442890033
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2020,-4.792983938
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2021,6.202553976
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2022,4.233431944
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2023,1.251700502
Belgium,Annual,Gross domestic product,Percent per annum,Constant prices,2024,0.995630163
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,1996,1.688961184
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,1997,4.280166807
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,1998,3.892886531
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,1999,5.141003583
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2000,5.138539143
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2001,1.875098144
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2002,2.999255318
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2003,1.806385157
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2004,3.092363827
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2005,3.210454352
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2006,2.63794379
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2007,2.049904584
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2008,0.995406376
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2009,-2.915086287
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2010,3.090806391
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2011,3.137194367
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2012,1.755661339
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2013,2.325813578
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2014,2.873466742
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2015,0.649971006
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2016,1.038550913
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2017,3.033834959
Canada,Annual,Gross domestic product,Percent per annum,Constant prices,2018,2.742963424
