Country Name,Series Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,Renewable electricity output (% of total electricity output),9.60446757,9.212941587,9.569856619,8.418940569,8.528974886,8.538558871,8.249872015,7.932631671,8.530312225,8.275519406,8.924600918,9.339432204,8.714945488,8.17116943,7.522908423,8.615496654,10.39555591,10.52958781,13.17640454,14.6271383,13.34208381,14.59602515,15.6790779,17.1008318,19.70389056,22.60029113,26.66086747
France,Renewable electricity output (% of total electricity output),15.2656219,13.3376315,13.16480773,12.66771763,14.341058,13.73689981,14.91870326,12.45668735,12.06544551,12.06934029,10.61985623,11.79010348,12.56009288,13.68749717,13.92544479,14.58104787,12.41948238,15.74401958,17.95900858,17.43580975,16.70455836,18.41068085,17.39806599,20.45449685,20.65183067,24.38562719,22.8268382
Germany,Renewable electricity output (% of total electricity output),4.826497718,4.780759563,4.181276901,4.47561346,5.162142729,6.886736982,7.233043318,8.388870519,8.411242565,10.30160063,11.26294707,12.38388787,15.01250483,15.64343651,17.03173174,17.62383119,21.18302527,23.73606191,24.75696766,26.82086504,30.03290098,30.01926362,34.00951167,35.63722153,40.5775419,44.83962451,39.83056652
"Korea, Rep.",Renewable electricity output (% of total electricity output),1.608329996,1.358604334,1.27740125,1.984237579,1.765013185,1.975338533,1.960208951,1.684910695,2.058733434,1.668529286,1.437908834,1.421828981,1.470153519,1.623017598,1.722130813,1.889600822,2.046633267,2.099899506,2.393610383,2.524408235,2.598460414,3.522194565,4.00291874,4.573295915,5.429678772,6.448595526,6.772401425
Sweden,Renewable electricity output (% of total electricity output),47.56017823,38.39203196,48.26363996,49.17050198,48.26746739,57.25732105,51.56791674,48.5089924,43.40676477,44.97311814,51.31584561,49.64635745,52.05883617,54.35323051,58.45956046,55.32790075,55.98889665,59.09852847,54.07399162,55.86870619,63.30428963,57.20508942,57.88925419,55.80973072,58.74827089,68.48070901,67.39193704
United Kingdom,Renewable electricity output (% of total electricity output),2.056933131,1.620262833,1.980802245,2.384595661,2.611964623,3.358536501,3.111055669,3.558203313,3.353105741,4.261195602,4.987498619,5.527308058,5.934042119,6.771619526,7.786682944,7.663209593,10.35838816,12.1419134,15.66903129,19.95925534,25.47103111,25.48525409,30.15449176,33.7661244,37.52052469,43.89484229,40.30811315
